"committeename","majority","minority"
"agriculture",11,9
"appropriations",16,15
"armedservices",14,13
"banking",13,12
"commerce",14,12
"energy",11,9
"environment",11,10
"finance",15,13
"foreignrelations",12,10
"health",12,11
"homelandsecurity",8,6
"rules",10,9
"smallbusiness",10,9
"budget",11,10
"judiciary",12,10
"veteransaffairs",9,8
